SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532842,SREE RAYALA ,B ,Q,622.15,622.15,601.4,605.15,608.2,612.65,336,2876,1746883,
532843,FORTIS      ,A ,Q,432.5,432.5,420.05,421.3,421.3,433.55,2389,45572,19402394,
532845,TGBHOTELS   ,T ,Q,15.81,15.81,15.81,15.81,15.81,15.5,25,19235,304105,
532847,HILTON MET  ,B ,Q,130,138.9,130,135.5,134.6,131.85,1267,63512,8647822,
532848,DELTA CORP  ,A ,Q,155.45,155.65,151.8,152.2,152.2,155.6,5046,382533,58584076,
532850,MIC ELECTRON,T ,Q,37.5,37.5,35.8,36.27,36.69,36.74,233,27037,989404,
532851,INSECTCID   ,B ,Q,630.1,652.8,630.1,649.6,647.3,646.95,218,1438,933228,
532853,ASAHI SONG  ,B ,Q,325,325,318.6,319.5,320.5,319.7,157,1642,526843,
532855,HARYA CAPFIN,XT,Q,140,140.7,134.25,136.65,140,134,34,2947,409184,
532856,TIME TECHNO ,A ,Q,187.65,187.65,180.05,180.4,180.25,184.95,653,36292,6623454,
532859,HGSL        ,A ,Q,970.4,1009,970.4,997.05,995.55,975.05,767,7045,7009897,
532864,NELCAST     ,B ,Q,169,170.25,167.5,168.85,169,168.45,70,1377,232388,
532867,V2RETAIL    ,B ,Q,338.2,346,336.1,345.05,339,338.2,88,1304,444764,
532868,DLF LIMITED ,A ,Q,800.85,811.15,796.6,801.2,801.2,797.3,2386,76954,61930823,
532869,TARMAT      ,B ,Q,94,94,91.12,91.44,91.12,92.53,138,7312,671190,
532870,ANKIT METAL ,T ,Q,5.17,5.17,5.17,5.17,5.17,5.27,33,33511,173251,
532872,SUNPHA ADV  ,A ,Q,385,394.8,372.2,384.55,384.55,385.45,2101,39694,15306951,
532875,ALLIED DIGIT,B ,Q,184.4,196.05,171.4,173.9,173.9,170.9,19384,1519446,284123562,
532878,ALPA LAB    ,B ,Q,111,111,106.55,107.2,107.1,109.1,209,15012,1619728,
532879,SIR SHADI LA,X ,Q,148,148,137.7,138.5,138.5,136,16,441,61773,
532880,OMAXE LTD   ,B ,Q,95.89,96.63,87.92,96.63,96.63,92.03,1673,362745,34352134,
532884,REFEX       ,B ,Q,692.9,692.9,661.75,676.15,676.15,681.75,2341,30966,20843264,
532885,CENTRAL BK  ,A ,Q,50.74,52.55,50.53,51.95,51.95,50.62,5185,1908512,99099269,
532886,SEL MANUF   ,T ,Q,88.23,88.23,87,88.23,88.23,86.5,50,3478,306560,
532888,ASIAN GRANIT,B ,Q,75,75.01,73.43,73.55,73.55,74.59,638,83065,6177035,
532889,K.P.R. MILL ,A ,Q,784.85,788.8,782.6,787.95,788,783.5,476,3775,2966161,
532890,TAKE SOLUT  ,B ,Q,26.25,27.84,25.71,27.56,27.56,25.31,1417,408520,11180000,
532891,PURAVANKARA ,B ,Q,229.25,234,220.4,229.5,234,229.75,3188,119071,27061889,
532892,MOTILALOFS  ,A ,Q,1529.55,1588.45,1510.15,1556.7,1548,1519.6,3140,39900,62218481,
532893,VTM LTD     ,X ,Q,68.3,69.7,66,68.5,68.8,66.48,234,47795,3245647,
532894,IWIND ENERGY,T ,Q,24.98,24.98,24.8,24.8,24.8,24.5,294,235565,5871050,
532895,NAGREKA CAP ,T ,Q,19.25,19.25,18.31,18.35,18.35,18.41,23,1922,36358,
532896,MAGNUM VENT ,B ,Q,62.24,64.36,62.24,64.36,64.36,61.3,480,31710,2029355,
532898,POWER GRID  ,A ,Q,242.8,242.8,239,239.5,239.5,241.85,9091,591950,141920295,
532899,KAVERI SEED ,A ,Q,655.25,655.95,650.2,654.35,653.85,650.65,454,6813,4450405,
532900,PAISALO     ,A ,Q,106.69,106.69,102.02,104.42,104.42,104.78,1040,93263,9743820,
532904,SUPREME INFR,Z ,Q,63.17,63.17,63.17,63.17,63.17,61.94,10,4836,305490,
532906,MAANALU     ,B ,Q,143.5,144.95,142.4,142.95,143.1,142.35,228,6629,950382,
532907,ILFSENGG    ,Z ,Q,38.07,38.07,38.07,38.07,38.07,37.33,50,63502,2417521,
532911,PARLEIND    ,X ,Q,8.7,8.7,8.51,8.61,8.61,8.56,942,118780,1022615,
532915,RELIGARE ENT,A ,Q,222.85,223.8,215.6,220.25,219,219.05,1792,110126,24147234,
532916,BARAK VALL  ,T ,Q,56.8,56.85,55.45,55.55,55.56,56.1,51,6281,351825,
532918,RATHI BARS  ,X ,Q,32.7,34.19,31.21,33.32,33.49,32.07,255,89606,2970212,
532921,ADANI PORTS ,A ,Q,1209.15,1218.5,1201.15,1206.85,1206.85,1202.9,7536,205052,248058811,
